epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6126,1.38822,3.9259,1.361,0.3663,0.11252,0.06222,0.03647,1.46464,3.75573,1.30378,0.00015,0.00015,0.00015
2,34.1569,1.36648,2.52822,1.2782,0.2854,0.15279,0.06089,0.03648,1.64854,3.42503,1.43126,0.000289903,0.000289903,0.000289903
3,50.6827,1.38667,2.26486,1.28534,0.01454,0.00589,0.0009,0.00053,4.07424,7.60707,4.66816,0.00041446,0.00041446,0.00041446
4,68.8379,1.40476,2.22269,1.31135,0.07851,0.1737,0.05598,0.03077,1.72034,13.2931,1.75005,0.00042575,0.00042575,0.00042575
5,85.4558,1.37439,2.00325,1.28785,0.3194,0.10844,0.05922,0.03635,1.85117,5.89006,1.68586,0.000401,0.000401,0.000401
6,101.836,1.29787,1.75672,1.25796,0.24102,0.12708,0.06073,0.03436,1.65419,3.95906,1.58942,0.00037625,0.00037625,0.00037625
7,118.034,1.22904,1.56561,1.21361,0.21918,0.12306,0.10162,0.06842,1.54805,3.22506,1.43764,0.0003515,0.0003515,0.0003515
8,135.312,1.19166,1.42839,1.18605,0.14578,0.14948,0.0942,0.06041,1.53176,2.96623,1.39006,0.00032675,0.00032675,0.00032675
9,151.396,1.11805,1.27566,1.14717,0.25039,0.1785,0.12562,0.08091,1.44924,2.71952,1.35612,0.000302,0.000302,0.000302
10,168.603,1.09677,1.17477,1.13151,0.14566,0.19418,0.09718,0.06538,1.39961,2.87575,1.30667,0.00027725,0.00027725,0.00027725
11,189.033,1.00846,1.13877,1.08262,0.24247,0.17967,0.12192,0.08094,1.47199,2.78922,1.33421,0.0002525,0.0002525,0.0002525
12,205.084,0.95521,0.98675,1.05224,0.19612,0.19947,0.13652,0.09112,1.39874,2.72647,1.3168,0.00022775,0.00022775,0.00022775
13,222.426,0.93947,0.89626,1.03682,0.20122,0.15583,0.12131,0.08088,1.37684,2.71639,1.32922,0.000203,0.000203,0.000203
14,238.462,0.88817,0.7753,1.01225,0.23227,0.17896,0.13307,0.09124,1.37238,2.6218,1.28524,0.00017825,0.00017825,0.00017825
15,254.5,0.84994,0.71677,0.9932,0.18726,0.19396,0.13942,0.09526,1.3542,2.65883,1.31968,0.0001535,0.0001535,0.0001535
16,271.664,0.8091,0.64359,0.96485,0.2209,0.21367,0.15676,0.11236,1.33186,2.63974,1.29394,0.00012875,0.00012875,0.00012875
17,288.793,0.78517,0.59422,0.95367,0.23267,0.22333,0.16443,0.11443,1.29973,2.68996,1.2698,0.000104,0.000104,0.000104
18,305.92,0.7588,0.54056,0.94294,0.24211,0.22484,0.16757,0.12034,1.29365,2.69791,1.25722,7.925e-05,7.925e-05,7.925e-05
19,323.158,0.71445,0.49592,0.9236,0.233,0.20422,0.16165,0.11471,1.28868,2.74235,1.24386,5.45e-05,5.45e-05,5.45e-05
20,339.2,0.6853,0.47397,0.90568,0.22179,0.20815,0.16375,0.11504,1.28304,2.77753,1.25826,2.975e-05,2.975e-05,2.975e-05
