epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.62026,1.1604,4.77126,1.25819,0.10915,0.07446,0.02441,0.01858,0.95174,3.60881,1.0556,5e-05,5e-05,5e-05
2,14.8949,1.08689,3.54222,1.16176,0.12416,0.16024,0.05817,0.04103,1.09723,3.33818,1.10956,9.98025e-05,9.98025e-05,9.98025e-05
3,22.8852,1.02728,2.86189,1.10421,0.28287,0.1895,0.07299,0.05222,1.19539,3.20503,1.16855,0.00014416,0.00014416,0.00014416
4,30.7916,1.02624,2.43883,1.09004,0.29726,0.15731,0.10143,0.0711,1.24249,3.15259,1.19387,0.000183073,0.000183073,0.000183073
5,38.801,1.01445,2.22886,1.10091,0.30002,0.19449,0.07984,0.05851,1.22422,4.11774,1.21317,0.00021654,0.00021654,0.00021654
6,45.5127,0.9799,2.01783,1.08932,0.4522,0.15804,0.10934,0.0862,1.2028,2.91583,1.2453,0.000244562,0.000244562,0.000244562
7,53.3521,1.05294,2.04934,1.11362,0.23224,0.21276,0.09659,0.0718,1.25985,3.12454,1.29879,0.00026714,0.00026714,0.00026714
8,60.0871,0.9957,1.9449,1.09327,0.37516,0.13523,0.06092,0.04268,1.28047,4.4751,1.29853,0.000284273,0.000284273,0.000284273
9,66.7884,0.99175,1.82692,1.08991,0.17898,0.15787,0.09686,0.07335,1.38392,3.16521,1.37472,0.00029596,0.00029596,0.00029596
10,73.5288,1.0186,1.71897,1.11284,0.12883,0.16152,0.05473,0.03094,1.34429,4.90323,1.43211,0.00027725,0.00027725,0.00027725
11,83.8847,0.95791,1.79268,1.05833,0.38601,0.10844,0.10656,0.07912,1.28291,4.55858,1.3409,0.0002525,0.0002525,0.0002525
12,90.6977,0.93444,1.74186,1.03017,0.28895,0.11439,0.05276,0.03727,1.30718,4.03735,1.42017,0.00022775,0.00022775,0.00022775
13,97.4496,0.91894,1.59737,1.03839,0.43964,0.11314,0.09028,0.06239,1.22654,3.30968,1.34303,0.000203,0.000203,0.000203
14,104.175,0.89727,1.46606,1.01275,0.26828,0.16648,0.10095,0.0747,1.17168,2.93191,1.23462,0.00017825,0.00017825,0.00017825
15,110.884,0.86208,1.3526,1.00256,0.15973,0.16104,0.10722,0.07752,1.17579,2.57902,1.22743,0.0001535,0.0001535,0.0001535
16,117.57,0.79662,1.19764,0.97126,0.37654,0.18935,0.16079,0.12386,1.06712,2.50956,1.12917,0.00012875,0.00012875,0.00012875
17,125.341,0.77531,1.05789,0.94502,0.2593,0.24183,0.14906,0.1146,1.07345,2.35075,1.14689,0.000104,0.000104,0.000104
18,132.002,0.7455,0.98349,0.94156,0.27515,0.22001,0.16223,0.12734,1.0361,2.36771,1.12632,7.925e-05,7.925e-05,7.925e-05
19,139.799,0.70128,0.85243,0.92927,0.33548,0.26197,0.17342,0.13514,1.05178,2.2528,1.12437,5.45e-05,5.45e-05,5.45e-05
20,147.588,0.70678,0.83036,0.92581,0.3655,0.23252,0.17826,0.13849,1.02322,2.25632,1.11435,2.975e-05,2.975e-05,2.975e-05
