epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,182.128,1.94902,2.79514,1.75459,0.35437,0.25265,0.19912,0.08266,2.13596,4.66354,1.98167,0.00036857,0.00036857,0.00036857
2,365.363,1.96502,2.40873,1.77705,0.237,0.17557,0.08608,0.03538,2.37034,5.24954,2.22629,0.000714519,0.000714519,0.000714519
3,548.826,1.95959,2.39845,1.77546,0.24177,0.17303,0.11665,0.04764,2.39673,5.06591,2.15907,0.00103603,0.00103603,0.00103603
4,731.904,1.89849,2.2775,1.73342,0.41886,0.33705,0.2913,0.12616,2.02804,2.64934,1.80737,0.00100101,0.00100101,0.00100101
5,915.48,1.83436,2.14959,1.67561,0.39831,0.33869,0.28077,0.12772,2.02208,2.84895,1.75628,0.000964348,0.000964348,0.000964348
6,1098.73,1.78827,2.05435,1.64868,0.43404,0.4096,0.36391,0.17158,1.88146,2.24915,1.7197,0.000927685,0.000927685,0.000927685
7,1282.04,1.75472,1.98614,1.62262,0.50525,0.4147,0.41761,0.206,1.82501,2.00823,1.66066,0.000891022,0.000891022,0.000891022
8,1465.41,1.72578,1.90336,1.59106,0.49107,0.4256,0.41411,0.19908,1.82603,2.0415,1.67988,0.000854359,0.000854359,0.000854359
9,1648.36,1.69647,1.87339,1.57372,0.52334,0.43932,0.44728,0.22597,1.78858,1.92175,1.62956,0.000817696,0.000817696,0.000817696
10,1831.62,1.6847,1.82674,1.56412,0.50189,0.47133,0.45418,0.22956,1.75914,1.9189,1.612,0.000781033,0.000781033,0.000781033
11,2014.9,1.66271,1.78167,1.54763,0.52945,0.49015,0.48855,0.2449,1.75541,1.87667,1.61335,0.00074437,0.00074437,0.00074437
12,2197.34,1.64619,1.75138,1.53812,0.5766,0.48826,0.50594,0.25652,1.75914,1.79941,1.59438,0.000707707,0.000707707,0.000707707
13,2379.76,1.62962,1.70995,1.52107,0.55368,0.48276,0.49817,0.25473,1.72736,1.7684,1.58785,0.000671044,0.000671044,0.000671044
14,2562.05,1.6156,1.67759,1.50988,0.57496,0.50724,0.52388,0.26881,1.71392,1.73213,1.55615,0.000634381,0.000634381,0.000634381
15,2744.71,1.59915,1.64815,1.49891,0.57453,0.51144,0.52871,0.26982,1.69963,1.72418,1.55134,0.000597718,0.000597718,0.000597718
16,2927.48,1.58966,1.61174,1.48591,0.57559,0.51448,0.53701,0.27813,1.6829,1.67705,1.54514,0.000561055,0.000561055,0.000561055
17,3110.02,1.57722,1.59666,1.4813,0.61476,0.53412,0.56917,0.30017,1.66071,1.61838,1.52869,0.000524392,0.000524392,0.000524392
18,3292.56,1.56141,1.5628,1.46694,0.59351,0.51854,0.54569,0.28737,1.68785,1.67323,1.53941,0.000487729,0.000487729,0.000487729
19,3474.97,1.5425,1.53969,1.46022,0.59669,0.5399,0.5662,0.30097,1.65,1.61351,1.52027,0.000451066,0.000451066,0.000451066
20,3657.2,1.53516,1.51366,1.44993,0.60951,0.55171,0.5799,0.31024,1.64733,1.5662,1.50773,0.000414403,0.000414403,0.000414403
21,3841.02,1.55346,1.45877,1.49654,0.62281,0.55167,0.58422,0.31145,1.64298,1.58583,1.52053,0.00037774,0.00037774,0.00037774
22,4023.3,1.5296,1.41581,1.47896,0.61116,0.55345,0.58454,0.31015,1.63482,1.55772,1.51061,0.000341077,0.000341077,0.000341077
23,4205.1,1.50757,1.38101,1.46575,0.64153,0.55848,0.6044,0.32708,1.63113,1.51742,1.50755,0.000304414,0.000304414,0.000304414
24,4386.99,1.49491,1.35205,1.45979,0.63543,0.56309,0.59842,0.32228,1.63299,1.51902,1.50768,0.000267751,0.000267751,0.000267751
25,4568.59,1.47382,1.31629,1.44675,0.63345,0.57084,0.60657,0.33057,1.63671,1.51045,1.50921,0.000231088,0.000231088,0.000231088
26,4750.55,1.45925,1.28295,1.4313,0.65898,0.55601,0.61415,0.33316,1.63472,1.50049,1.50341,0.000194425,0.000194425,0.000194425
27,4932.56,1.43876,1.24694,1.41731,0.64635,0.57278,0.61497,0.3337,1.63987,1.48727,1.51271,0.000157762,0.000157762,0.000157762
28,5114.68,1.42147,1.21519,1.40887,0.66807,0.56171,0.6181,0.33637,1.63588,1.48098,1.5053,0.000121099,0.000121099,0.000121099
29,5296.57,1.40249,1.1935,1.39986,0.6614,0.57416,0.62342,0.34083,1.62911,1.46122,1.50362,8.4436e-05,8.4436e-05,8.4436e-05
30,5478.35,1.39062,1.163,1.3855,0.66369,0.57408,0.62574,0.3418,1.63712,1.46321,1.50762,4.7773e-05,4.7773e-05,4.7773e-05
