epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.1336,1.92556,5.52138,1.91156,0.35813,0.0542,0.01998,0.01652,0.91812,4.04027,1.08094,3.12e-05,3.12e-05,3.12e-05
2,24.8883,1.80756,4.44189,1.72716,0.22124,0.16436,0.05817,0.04729,1.03154,3.83128,1.1479,5.7628e-05,5.7628e-05,5.7628e-05
3,35.5255,1.819,3.86847,1.70309,0.31446,0.18642,0.08753,0.07141,0.98349,3.15049,1.09271,7.75694e-05,7.75694e-05,7.75694e-05
4,45.9991,1.78129,3.56197,1.68488,0.21894,0.159,0.07761,0.05724,1.01545,3.2299,1.12122,9.10244e-05,9.10244e-05,9.10244e-05
5,56.2246,1.70699,3.30323,1.62692,0.22178,0.18204,0.09243,0.07294,0.979,2.94362,1.08026,9.4224e-05,9.4224e-05,9.4224e-05
6,66.6306,1.67818,3.10658,1.6234,0.26009,0.14667,0.11204,0.08799,1.02178,3.01086,1.13539,7.878e-05,7.878e-05,7.878e-05
7,77.0574,1.65982,2.91159,1.61035,0.21631,0.13437,0.12072,0.09303,0.99367,2.9132,1.10772,6.3336e-05,6.3336e-05,6.3336e-05
8,87.442,1.58369,2.73339,1.55856,0.21987,0.18133,0.15062,0.11374,0.92222,2.73198,1.07176,4.7892e-05,4.7892e-05,4.7892e-05
9,97.8337,1.53887,2.56699,1.55021,0.21107,0.22049,0.14525,0.10871,0.89736,2.70551,1.05301,3.2448e-05,3.2448e-05,3.2448e-05
10,108.09,1.50706,2.45507,1.5413,0.20749,0.16904,0.14225,0.11261,0.88722,2.73828,1.04233,1.7004e-05,1.7004e-05,1.7004e-05
