epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4502,1.86967,5.22328,1.81651,0.2506,0.07409,0.0266,0.02192,0.97381,4.80652,1.12182,3.12e-05,3.12e-05,3.12e-05
2,21.6001,1.81559,4.18532,1.72866,0.26935,0.15302,0.05859,0.04813,1.01681,3.52598,1.13482,6.33268e-05,6.33268e-05,6.33268e-05
3,32.2092,1.73251,3.59135,1.63336,0.1892,0.1958,0.07869,0.0626,1.02708,3.52636,1.11818,9.48049e-05,9.48049e-05,9.48049e-05
4,42.9656,1.79496,3.31494,1.67074,0.14553,0.17047,0.07793,0.06351,1.11882,3.69556,1.17594,0.000125634,0.000125634,0.000125634
5,53.4828,1.71712,3.09602,1.63078,0.2552,0.11992,0.0555,0.04232,1.16851,3.6218,1.21808,0.000149822,0.000149822,0.000149822
6,63.994,1.6844,2.96696,1.60516,0.22236,0.11781,0.08515,0.06433,1.11802,3.56191,1.20865,0.000148278,0.000148278,0.000148278
7,74.4791,1.66572,2.83468,1.58861,0.28484,0.14079,0.09534,0.07255,1.14744,3.446,1.2318,0.000146734,0.000146734,0.000146734
8,85.058,1.62616,2.72725,1.58946,0.2079,0.18162,0.11125,0.08233,1.16539,3.25516,1.1994,0.000145189,0.000145189,0.000145189
9,95.8193,1.60069,2.5706,1.55509,0.20697,0.14079,0.09373,0.07075,1.13911,3.73978,1.20412,0.000143645,0.000143645,0.000143645
10,106.288,1.64745,2.5903,1.60002,0.18838,0.13927,0.09937,0.07557,1.07203,3.19749,1.17243,0.0001421,0.0001421,0.0001421
11,116.583,1.63653,2.51169,1.56823,0.22715,0.16506,0.10504,0.08125,1.07129,3.09206,1.18245,0.000140556,0.000140556,0.000140556
12,126.89,1.56339,2.3838,1.53124,0.21264,0.14374,0.0945,0.07115,1.11629,3.21283,1.20282,0.000139012,0.000139012,0.000139012
13,137.205,1.54917,2.31164,1.51291,0.24815,0.14126,0.11105,0.08866,1.05683,3.19987,1.15937,0.000137467,0.000137467,0.000137467
14,147.763,1.55665,2.26277,1.54007,0.20787,0.11486,0.09503,0.07537,1.113,3.66743,1.19446,0.000135923,0.000135923,0.000135923
15,158,1.51058,2.15347,1.48531,0.2306,0.14689,0.10968,0.08219,1.16283,3.14748,1.25977,0.000134378,0.000134378,0.000134378
16,168.231,1.50483,2.11281,1.49578,0.18031,0.15358,0.12444,0.0971,1.08364,3.15817,1.20181,0.000132834,0.000132834,0.000132834
17,178.696,1.45157,2.03222,1.46242,0.15676,0.16763,0.10033,0.07877,1.04052,3.25995,1.15899,0.00013129,0.00013129,0.00013129
18,188.99,1.4555,2.01065,1.46747,0.18765,0.17332,0.1234,0.09111,1.06647,3.19105,1.18883,0.000129745,0.000129745,0.000129745
19,199.251,1.49381,1.98821,1.48544,0.40273,0.11521,0.1242,0.0976,0.98628,3.14123,1.12736,0.000128201,0.000128201,0.000128201
20,209.777,1.44808,1.89489,1.46233,0.08324,0.11731,0.08176,0.06263,1.06195,3.48614,1.18866,0.000126656,0.000126656,0.000126656
21,220.018,1.44548,1.87772,1.44541,0.32806,0.08784,0.10644,0.0862,1.07124,3.34909,1.17616,0.000125112,0.000125112,0.000125112
22,230.256,1.39818,1.79543,1.41073,0.27417,0.10515,0.10053,0.07962,1.05227,3.40179,1.14974,0.000123568,0.000123568,0.000123568
23,240.506,1.43983,1.83414,1.45991,0.22357,0.13266,0.11187,0.08664,1.07353,3.34592,1.19458,0.000122023,0.000122023,0.000122023
