epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.367,1.36153,4.24506,1.32081,0.24706,0.1672,0.09009,0.05586,1.40744,3.00773,1.29786,0.00015,0.00015,0.00015
2,36.737,1.28574,2.73458,1.21848,0.20037,0.10582,0.03809,0.01973,1.94051,3.35792,1.67516,0.000274805,0.000274805,0.000274805
3,52.0474,1.32292,2.51584,1.26037,0.10283,0.09228,0.01857,0.00896,2.19164,8.16707,2.36799,0.00036892,0.00036892,0.00036892
4,69.0428,1.33141,2.38233,1.26488,0.25891,0.0883,0.0361,0.02164,1.76657,10.3649,1.72197,0.0003515,0.0003515,0.0003515
5,85.137,1.27191,2.14339,1.22026,0.21736,0.10892,0.04286,0.02824,1.59347,4.08285,1.40104,0.000302,0.000302,0.000302
6,101.07,1.19917,1.88802,1.17871,0.29787,0.19442,0.10163,0.06649,1.45208,2.72328,1.31056,0.0002525,0.0002525,0.0002525
7,116.556,1.10652,1.63074,1.11229,0.25604,0.17504,0.10082,0.06501,1.44097,2.73064,1.31323,0.000203,0.000203,0.000203
8,131.916,1.05618,1.39832,1.07928,0.24336,0.16595,0.11913,0.08081,1.33865,2.55919,1.2267,0.0001535,0.0001535,0.0001535
9,147.445,0.96199,1.16539,1.03582,0.19772,0.18466,0.14181,0.09648,1.30566,2.44223,1.23972,0.000104,0.000104,0.000104
10,162.725,0.87512,0.951,1.00237,0.18072,0.21457,0.14802,0.10409,1.27015,2.43546,1.208,5.45e-05,5.45e-05,5.45e-05
