epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.5793,1.13543,4.79927,1.25839,0.06553,0.0598,0.02773,0.02185,0.98271,3.52756,1.02249,5e-05,5e-05,5e-05
2,15.4241,1.08019,3.52891,1.14798,0.23004,0.16665,0.0637,0.05089,1.12303,3.40697,1.06258,0.000101535,0.000101535,0.000101535
3,23.3866,1.00962,2.8591,1.11265,0.18314,0.18748,0.09862,0.07763,1.11314,2.99629,1.10348,0.00014944,0.00014944,0.00014944
4,31.2671,1.0232,2.55325,1.11965,0.27191,0.14309,0.12059,0.09717,1.10898,2.71648,1.10289,0.000193715,0.000193715,0.000193715
5,39.0882,1.01613,2.2546,1.10027,0.39791,0.18474,0.11089,0.08395,1.23493,2.95155,1.14487,0.00023436,0.00023436,0.00023436
6,45.9981,0.99429,2.10168,1.08258,0.28541,0.18514,0.07335,0.05293,1.32381,4.50507,1.25562,0.000271375,0.000271375,0.000271375
7,52.7614,1.0238,2.12492,1.11878,0.33062,0.09318,0.06579,0.04682,1.33463,3.23555,1.26462,0.00030476,0.00030476,0.00030476
8,59.5943,1.05157,2.01847,1.13186,0.22056,0.102,0.05346,0.03582,1.39367,4.8862,1.38857,0.000334515,0.000334515,0.000334515
9,66.6461,1.05492,1.93231,1.09984,0.41711,0.09431,0.05601,0.04177,1.38225,4.53713,1.35544,0.00036064,0.00036064,0.00036064
10,73.5644,1.06862,1.99104,1.13467,0.29119,0.11213,0.05865,0.04103,1.3187,6.81748,1.39222,0.0003515,0.0003515,0.0003515
11,80.4518,1.04075,1.89324,1.13721,0.37109,0.09253,0.06096,0.04341,1.32986,5.6231,1.30752,0.000335,0.000335,0.000335
12,87.2998,1.02193,1.73884,1.10928,0.28349,0.11087,0.07799,0.05706,1.31427,4.21998,1.30657,0.0003185,0.0003185,0.0003185
13,94.1361,0.99071,1.62829,1.09345,0.35915,0.08242,0.08424,0.06264,1.33083,4.17403,1.27207,0.000302,0.000302,0.000302
14,100.909,0.9692,1.54173,1.06228,0.47929,0.08741,0.0754,0.05734,1.26085,3.73242,1.26913,0.0002855,0.0002855,0.0002855
15,107.672,0.96282,1.50845,1.07401,0.32912,0.12632,0.09715,0.0735,1.24775,3.71312,1.23039,0.000269,0.000269,0.000269
16,114.407,0.92748,1.39801,1.05792,0.26818,0.10345,0.07296,0.05468,1.19593,3.55014,1.19233,0.0002525,0.0002525,0.0002525
17,121.242,0.8951,1.26014,1.03918,0.19754,0.17449,0.10792,0.08406,1.17516,3.01797,1.14632,0.000236,0.000236,0.000236
18,128.037,0.87411,1.18251,1.02058,0.33278,0.12526,0.08228,0.06095,1.19671,3.50954,1.16719,0.0002195,0.0002195,0.0002195
19,134.8,0.86722,1.13171,1.02921,0.21415,0.15545,0.10669,0.07989,1.18768,2.77623,1.18525,0.000203,0.000203,0.000203
20,141.505,0.82544,1.064,1.00429,0.14082,0.16882,0.11446,0.09017,1.20577,2.73532,1.16133,0.0001865,0.0001865,0.0001865
21,151.595,0.77025,1.04914,0.95569,0.13777,0.14333,0.11012,0.08278,1.16975,2.75538,1.14665,0.00017,0.00017,0.00017
22,158.316,0.76779,0.97634,0.9482,0.24341,0.13778,0.13403,0.1086,1.13575,2.56899,1.13836,0.0001535,0.0001535,0.0001535
23,166.128,0.73141,0.86934,0.94678,0.19003,0.14456,0.11835,0.0914,1.1517,2.81099,1.16495,0.000137,0.000137,0.000137
24,172.885,0.71419,0.82701,0.92229,0.31249,0.13602,0.14253,0.11179,1.1186,2.71214,1.15065,0.0001205,0.0001205,0.0001205
25,180.826,0.68113,0.75361,0.90403,0.17792,0.20678,0.13795,0.11181,1.08698,2.76697,1.10448,0.000104,0.000104,0.000104
26,187.657,0.67686,0.70422,0.91459,0.17029,0.18314,0.13233,0.10382,1.07909,2.71562,1.10895,8.75e-05,8.75e-05,8.75e-05
27,194.494,0.64958,0.66558,0.90258,0.2039,0.14396,0.14038,0.1122,1.06544,2.64377,1.10681,7.1e-05,7.1e-05,7.1e-05
28,202.404,0.62139,0.60037,0.88003,0.16743,0.1619,0.14103,0.11189,1.05326,2.61445,1.10719,5.45e-05,5.45e-05,5.45e-05
29,209.096,0.6108,0.57817,0.87797,0.21049,0.1338,0.13433,0.10532,1.06808,2.62521,1.10746,3.8e-05,3.8e-05,3.8e-05
30,215.761,0.60037,0.55215,0.87231,0.3776,0.12895,0.13884,0.10842,1.06831,2.6495,1.10892,2.15e-05,2.15e-05,2.15e-05
